source_node	target_node	Source Node Attribute	Target Node Attribute
n121	Q13148	lncRNA	protein
n127	Q9HCE1	lncRNA	protein
n1315	P35637	lncRNA	protein
n1315	Q01844	lncRNA	protein
n1315	Q13148	lncRNA	protein
n1315	Q49AS9	lncRNA	protein
n1315	Q9NY12	lncRNA	protein
n1315	Q9UKC9	lncRNA	protein
n1414	J9JEG3	lncRNA	protein
n1414	P0A6X3	lncRNA	protein
n1414	P13445	lncRNA	protein
n1433	P84104	lncRNA	protein
n1433	Q8VE97	lncRNA	protein
n1460	P84104	lncRNA	protein
n1460	Q8VE97	lncRNA	protein
n1461	Q8VE97	lncRNA	protein
n1579	P84104	lncRNA	protein
n1579	Q8VE97	lncRNA	protein
n177816	G5EGR6	lncRNA	protein
n177817	G5EGR6	lncRNA	protein
n177965	G5EGR6	lncRNA	protein
n178012	G5EGR6	lncRNA	protein
n178094	G5EGR6	lncRNA	protein
n178096	G5EGR6	lncRNA	protein
n178110	G5EGR6	lncRNA	protein
n178123	G5EGR6	lncRNA	protein
n178127	G5EGR6	lncRNA	protein
n178128	G5EGR6	lncRNA	protein
n178133	G5EGR6	lncRNA	protein
n178134	G5EGR6	lncRNA	protein
n178137	Q17339	lncRNA	protein
n178162	G5EGR6	lncRNA	protein
n178164	G5EGR6	lncRNA	protein
n1851	P01106	lncRNA	protein
n1859	O08688	lncRNA	protein
n1859	P84104	lncRNA	protein
n1859	Q8R1B4	lncRNA	protein
n1859	Q8VE97	lncRNA	protein
n1859	Q91WM3	lncRNA	protein
n1868	Q13148	lncRNA	protein
n1877	B1IVL4	lncRNA	protein
n1877	P0A6H1	lncRNA	protein
n1877	P0AFZ3	lncRNA	protein
n1877	P0AG67	lncRNA	protein
n1877	P0C077	lncRNA	protein
n1877	P0C0V0	lncRNA	protein
n1877	P0CE47	lncRNA	protein
n1877	P0CE48	lncRNA	protein
n1877	P21499	lncRNA	protein
n1877	P23865	lncRNA	protein
n1877	P42184	lncRNA	protein
n1877	P77398	lncRNA	protein
n198938	Q05C33	lncRNA	protein
n199030	B7ZL34	lncRNA	protein
n199030	O00425	lncRNA	protein
n199030	P26599	lncRNA	protein
n199030	Q13148	lncRNA	protein
n199030	Q8NDV7	lncRNA	protein
n199030	Q9H9G7	lncRNA	protein
n199030	Q9HCJ0	lncRNA	protein
n199030	Q9HCK5	lncRNA	protein
n199030	Q9NZI8	lncRNA	protein
n199030	Q9UKV8	lncRNA	protein
n199030	Q9UL18	lncRNA	protein
n199030	Q9UPQ9	lncRNA	protein
n200540	Q05C33	lncRNA	protein
n203786	Q13148	lncRNA	protein
n203786	Q49AS9	lncRNA	protein
n203786	Q9HCE1	lncRNA	protein
n2060	P26599	lncRNA	protein
n2060	Q01844	lncRNA	protein
n2060	Q13148	lncRNA	protein
n2060	Q49AS9	lncRNA	protein
n2110	P84104	lncRNA	protein
n2130	P84104	lncRNA	protein
n2130	Q8VE97	lncRNA	protein
n2146	P84104	lncRNA	protein
n2146	Q8VE97	lncRNA	protein
n2156	P84104	lncRNA	protein
n2157	P84104	lncRNA	protein
n2157	Q8VE97	lncRNA	protein
n2170	Q07807	lncRNA	protein
n223	G5EGR6	lncRNA	protein
n243	Q13148	lncRNA	protein
n263510	Q4VA08	lncRNA	protein
n263537	Q8VE97	lncRNA	protein
n263549	Q4VA08	lncRNA	protein
n263563	P84104	lncRNA	protein
n263844	Q05C33	lncRNA	protein
n263875	Q05C33	lncRNA	protein
n263880	Q05C33	lncRNA	protein
n263885	Q05C33	lncRNA	protein
n263900	Q05C33	lncRNA	protein
n263936	Q4VA08	lncRNA	protein
n263941	Q05C33	lncRNA	protein
n263950	Q05C33	lncRNA	protein
n263950	Q4VA08	lncRNA	protein
n263956	Q05C33	lncRNA	protein
n263960	Q4VA08	lncRNA	protein
n263964	Q05C33	lncRNA	protein
n263969	Q05C33	lncRNA	protein
n263973	Q4VA08	lncRNA	protein
n263981	Q05C33	lncRNA	protein
n264009	Q05C33	lncRNA	protein
n264034	Q05C33	lncRNA	protein
n264043	Q05C33	lncRNA	protein
n264048	Q4VA08	lncRNA	protein
n264053	Q05C33	lncRNA	protein
n264053	Q4VA08	lncRNA	protein
n264065	Q8VE97	lncRNA	protein
n264146	Q4VA08	lncRNA	protein
n264173	Q05C33	lncRNA	protein
n264173	Q4VA08	lncRNA	protein
n264264	Q05C33	lncRNA	protein
n264314	Q4VA08	lncRNA	protein
n264321	O54864	lncRNA	protein
n264321	Q7TPM0	lncRNA	protein
n264321	Q80U70	lncRNA	protein
