source_node	target_node	Source Node Attribute	Target Node Attribute
AC005586.2	Q01844	lncRNA	protein
AC007639.1	Q01844	lncRNA	protein
AC013402.2	Q01844	lncRNA	protein
AC016205.1	Q01844	lncRNA	protein
AC016251.2	Q01844	lncRNA	protein
AC020911.1	Q01844	lncRNA	protein
AC025171.1	Q01844	lncRNA	protein
AC026462.2	Q01844	lncRNA	protein
AC091047.1	Q01844	lncRNA	protein
AC097532.1	Q01844	lncRNA	protein
AL354696.2	Q01844	lncRNA	protein
AL359220.1	Q01844	lncRNA	protein
AL671710.1	Q01844	lncRNA	protein
AP003486.1	Q01844	lncRNA	protein
BCAR4	Q01844	lncRNA	protein
BCAR4	Q96QC0	lncRNA	protein
BCAR4	Q8TAD8	lncRNA	protein
CDKN2B-AS1	O95931	lncRNA	protein
CDKN2B-AS1	Q15022	lncRNA	protein
GAS5	Q01844	lncRNA	protein
H19	B1AKI9	lncRNA	protein
H19	Q00839	lncRNA	protein
HEIH	Q15910	lncRNA	protein
HOTAIR	Q15365	lncRNA	protein
HOTAIR	O60341	lncRNA	protein
HOTAIR	Q15022	lncRNA	protein
HOTAIR	Q15910	lncRNA	protein
HOTTIP	P31269	lncRNA	protein
HOTTIP	P61964	lncRNA	protein
HOTTIP	Q03164	lncRNA	protein
MALAT1	Q01844	lncRNA	protein
MALAT1	P23246	lncRNA	protein
MALAT1	O15042	lncRNA	protein
MALAT1	Q15233	lncRNA	protein
MEG3	P04637	lncRNA	protein
NEAT1	Q01844	lncRNA	protein
NEAT1	P51532	lncRNA	protein
NEAT1	P51531	lncRNA	protein
NEAT1	P23246	lncRNA	protein
NEAT1	Q15233	lncRNA	protein
NEAT1	Q8WXF1	lncRNA	protein
PVT1	Q01844	lncRNA	protein
SNHG1	Q01844	lncRNA	protein
SNHG10	Q01844	lncRNA	protein
SNHG11	Q01844	lncRNA	protein
SNHG12	Q01844	lncRNA	protein
SNHG5	Q01844	lncRNA	protein
MALAT1	Q03518	lncRNA	protein
MALAT1	Q13070	lncRNA	protein
KCNQ1OT1	P49918	lncRNA	protein
H19	P01344	lncRNA	protein
XIST	Q9UBU9	lncRNA	protein
XIST	Q00839	lncRNA	protein
TERC	O14746	lncRNA	protein
CDKN2B-AS1	P42224	lncRNA	protein
MALAT1	Q13242	lncRNA	protein
MALAT1	Q16629	lncRNA	protein
