training dataset : 1228_1_inMemory_train_0testing dataset : 1228_1_inMemory_test_0database£ºRPI369
node2vec_windowSize = 5
number of eopch £º50
learn rate£ºinitial = 0.0002£¬whenever loss increases, multiply by 0.95
L2 weight decay = 0.001
Epoch: 002, training dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 002, testing dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 004, training dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 004, testing dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 006, training dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 006, testing dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 008, training dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 008, testing dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 010, training dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 010, testing dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 012, training dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 012, testing dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 014, training dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 014, testing dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 016, training dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 016, testing dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 018, training dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 018, testing dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 020, training dataset, Accuracy: 0.50678, Precision: 1.00000, Sensitivity: 0.01356, Specificity: 1.00000, MCC: 0.08262
Epoch: 020, testing dataset, Accuracy: 0.50000, Precision: 0.00000, Sensitivity: 0.00000, Specificity: 1.00000, MCC: 0.00000
Epoch: 022, training dataset, Accuracy: 0.62203, Precision: 0.73377, Sensitivity: 0.38305, Specificity: 0.86102, MCC: 0.27786
Epoch: 022, testing dataset, Accuracy: 0.48649, Precision: 0.33333, Sensitivity: 0.02703, Specificity: 0.94595, MCC: -0.06852
Epoch: 024, training dataset, Accuracy: 0.69322, Precision: 0.71923, Sensitivity: 0.63390, Specificity: 0.75254, MCC: 0.38919
Epoch: 024, testing dataset, Accuracy: 0.47297, Precision: 0.37500, Sensitivity: 0.08108, Specificity: 0.86486, MCC: -0.08704
Epoch: 026, training dataset, Accuracy: 0.67966, Precision: 0.67550, Sensitivity: 0.69153, Specificity: 0.66780, MCC: 0.35942
Epoch: 026, testing dataset, Accuracy: 0.52027, Precision: 0.55172, Sensitivity: 0.21622, Specificity: 0.82432, MCC: 0.05107
Epoch: 028, training dataset, Accuracy: 0.68983, Precision: 0.67722, Sensitivity: 0.72542, Specificity: 0.65424, MCC: 0.38063
Epoch: 028, testing dataset, Accuracy: 0.53378, Precision: 0.56098, Sensitivity: 0.31081, Specificity: 0.75676, MCC: 0.07549
