source_node	target_node	Source Node Attribute	Target Node Attribute
1DRZ-B	1DRZ-A	lncRNA	protein
2R93-R	2R93-B	lncRNA	protein
2R93-R	2R93-A	lncRNA	protein
1VFG-C	1VFG-A	lncRNA	protein
1JBT-C	1JBT-A	lncRNA	protein
1EC6-C	1EC6-B	lncRNA	protein
1F8V-R	1F8V-C	lncRNA	protein
1F8V-R	1F8V-E	lncRNA	protein
3CW1-V	3CW1-G	lncRNA	protein
3CW1-V	3CW1-B	lncRNA	protein
3CW1-W	3CW1-T	lncRNA	protein
3CW1-V	3CW1-P	lncRNA	protein
3CW1-X	3CW1-Y	lncRNA	protein
3CW1-X	3CW1-2	lncRNA	protein
3CW1-X	3CW1-5	lncRNA	protein
3CW1-V	3CW1-K	lncRNA	protein
3CW1-X	3CW1-J	lncRNA	protein
3CW1-V	3CW1-9	lncRNA	protein
1HQ1-B	1HQ1-A	lncRNA	protein
1DUL-B	1DUL-A	lncRNA	protein
2NQP-F	2NQP-C	lncRNA	protein
2AZ2-C	2AZ2-A	lncRNA	protein
2HGH-B	2HGH-A	lncRNA	protein
2R92-T	2R92-B	lncRNA	protein
2R92-T	2R92-A	lncRNA	protein
2B2D-S	2B2D-C	lncRNA	protein
2IZN-R	2IZN-A	lncRNA	protein
1R3E-E	1R3E-A	lncRNA	protein
3KS8-F	3KS8-A	lncRNA	protein
2B2E-R	2B2E-C	lncRNA	protein
2XFZ-X	2XFZ-Y	lncRNA	protein
2WRI-X	2WRI-Y	lncRNA	protein
1ZE2-D	1ZE2-B	lncRNA	protein
1ZE2-C	1ZE2-A	lncRNA	protein
3MUM-R	3MUM-P	lncRNA	protein
3MUR-R	3MUR-P	lncRNA	protein
1X1L-A	1X1L-X	lncRNA	protein
1RPU-D	1RPU-B	lncRNA	protein
2ZH4-B	2ZH4-A	lncRNA	protein
2PLY-C	2PLY-A	lncRNA	protein
1WSU-G	1WSU-A	lncRNA	protein
1URN-R	1URN-C	lncRNA	protein
2ZH3-B	2ZH3-A	lncRNA	protein
2JPP-D	2JPP-B	lncRNA	protein
2WRN-Y	2WRN-Z	lncRNA	protein
3CZ3-E	3CZ3-A	lncRNA	protein
2CV1-D	2CV1-B	lncRNA	protein
3CZ3-G	3CZ3-B	lncRNA	protein
1AQ4-S	1AQ4-C	lncRNA	protein
2C4Y-S	2C4Y-C	lncRNA	protein
1FJE-A	1FJE-B	lncRNA	protein
3KFU-N	3KFU-H	lncRNA	protein
3KFU-N	3KFU-B	lncRNA	protein
3KFU-L	3KFU-F	lncRNA	protein
3KFU-L	3KFU-G	lncRNA	protein
1QZW-B	1QZW-A	lncRNA	protein
2DLC-Y	2DLC-X	lncRNA	protein
1ZDH-R	1ZDH-A	lncRNA	protein
1P6V-B	1P6V-C	lncRNA	protein
2GJE-R	2GJE-D	lncRNA	protein
2GJE-R	2GJE-A	lncRNA	protein
2IZ8-R	2IZ8-A	lncRNA	protein
2WYY-S	2WYY-J	lncRNA	protein
2FK6-R	2FK6-A	lncRNA	protein
1Q2R-F	1Q2R-C	lncRNA	protein
3DEG-G	3DEG-C	lncRNA	protein
1A9N-R	1A9N-D	lncRNA	protein
1A9N-Q	1A9N-A	lncRNA	protein
2IY3-B	2IY3-A	lncRNA	protein
2PXV-B	2PXV-A	lncRNA	protein
1URN-P	1URN-A	lncRNA	protein
3HTX-E	3HTX-D	lncRNA	protein
3CIY-D	3CIY-A	lncRNA	protein
3KTV-A	3KTV-B	lncRNA	protein
2D6F-F	2D6F-D	lncRNA	protein
3HJY-C	3HJY-A	lncRNA	protein
2C50-R	2C50-A	lncRNA	protein
1H3E-B	1H3E-A	lncRNA	protein
1F6U-B	1F6U-A	lncRNA	protein
2J0Q-H	2J0Q-I	lncRNA	protein
2J0Q-H	2J0Q-B	lncRNA	protein
1AUD-B	1AUD-A	lncRNA	protein
1JID-B	1JID-A	lncRNA	protein
1KOG-K	1KOG-D	lncRNA	protein
1ZBH-F	1ZBH-D	lncRNA	protein
1Q2S-E	1Q2S-A	lncRNA	protein
2NUF-C	2NUF-A	lncRNA	protein
2B3J-G	2B3J-C	lncRNA	protein
2XLJ-B	2XLJ-A	lncRNA	protein
2B2D-R	2B2D-C	lncRNA	protein
2DER-D	2DER-B	lncRNA	protein
3IAB-R	3IAB-A	lncRNA	protein
3IAB-R	3IAB-B	lncRNA	protein
2XLI-B	2XLI-A	lncRNA	protein
1ZDI-R	1ZDI-A	lncRNA	protein
3EPL-E	3EPL-B	lncRNA	protein
2JEA-C	2JEA-B	lncRNA	protein
2JEA-C	2JEA-A	lncRNA	protein
1U1Y-S	1U1Y-B	lncRNA	protein
2CSX-D	2CSX-A	lncRNA	protein
1RY1-M	1RY1-D	lncRNA	protein
1RY1-M	1RY1-C	lncRNA	protein
5MSF-S	5MSF-C	lncRNA	protein
3FOZ-C	3FOZ-B	lncRNA	protein
1JBR-C	1JBR-A	lncRNA	protein
2FY1-B	2FY1-A	lncRNA	protein
2C4Z-R	2C4Z-A	lncRNA	protein
1QF6-B	1QF6-A	lncRNA	protein
2AKE-B	2AKE-A	lncRNA	protein
3FTF-D	3FTF-A	lncRNA	protein
2B9M-X	2B9M-Y	lncRNA	protein
2XLK-D	2XLK-B	lncRNA	protein
2IY5-T	2IY5-B	lncRNA	protein
1EIY-C	1EIY-A	lncRNA	protein
3HL2-E	3HL2-B	lncRNA	protein
1T4L-A	1T4L-B	lncRNA	protein
3CZ3-F	3CZ3-D	lncRNA	protein
2OB7-A	2OB7-B	lncRNA	protein
1AQ3-R	1AQ3-C	lncRNA	protein
2IZM-S	2IZM-C	lncRNA	protein
2C51-S	2C51-C	lncRNA	protein
1J2B-C	1J2B-B	lncRNA	protein
