NONHSAT122561.2	n121
NONHSAT121998.2	n127
NONHSAT026096.2	n1315
NA	n1414
NONMMUT040235.2	n1433
NA	n1460
NONMMUT001905.2	n1461
NA	n1579
NA	n177816
NA	n177817
NA	n177965
NA	n178012
NA	n178094
NA	n178096
NA	n178110
NA	n178123
NA	n178127
NA	n178128
NA	n178133
NA	n178134
NA	n178137
NA	n178162
NA	n178164
NONHSAT081499.2	n1851
NA	n1859
NONHSAT030089.2	n1868
NA	n1877
NONMMUT015714.2	n198938
NONHSAT030153.2	n199030
NONMMUT017796.2	n200540
NA	n203786
NA	n2060
NA	n2110
NONMMUT049855.2	n2130
NA	n2146
NA	n2156
NA	n2157
NA	n2170
NA	n223
NONHSAT118836.2	n243
NA	n263510
NONMMUT015697.2	n263537
NONMMUT061300.2	n263549
NONMMUT002311.2	n263563
NONMMUT053358.2	n263844
NONMMUT053522.2	n263875
NONMMUT048923.2	n263880
NONMMUT068934.2	n263885
NONMMUT003890.2	n263900
NONMMUT048400.2	n263936
NA	n263941
NONMMUT020262.2	n263950
NONMMUT040074.2	n263956
NONMMUT012271.2	n263960
NONMMUT047777.2	n263964
NONMMUT020146.2	n263969
NONMMUT025543.2	n263973
NONMMUT026638.2	n263981
NONMMUT032684.2	n264009
NONMMUT008949.2	n264034
NONMMUT009308.2	n264043
NONMMUT023473.2	n264048
NONMMUT014026.2	n264053
NONMMUT018498.2	n264065
NONMMUT066265.2	n264146
NA	n264173
NONMMUT068940.2	n264264
NONMMUT024822.2	n264314
NA	n264321
NONMMUT017405.2	n264344
NONMMUT009575.2	n264346
NONMMUT057455.2	n264410
NA	n264431
NONMMUT063768.2	n264435
NONMMUT031415.2	n264461
NONMMUT019879.2	n264493
NONMMUT021162.2	n264581
NONMMUT048309.2	n264602
NONMMUT054707.2	n264673
NA	n264709
NONMMUT066601.2	n264747
NONMMUT057690.2	n264765
NONMMUT009888.2	n264766
NONMMUT030189.2	n264800
NONMMUT054183.2	n264882
NONMMUT069373.2	n264998
NONMMUT008967.2	n265007
NA	n265080
NONMMUT011431.2	n265122
NONMMUT015233.2	n265125
NA	n265145
NA	n265149
NONMMUT022925.2	n265216
NONMMUT012521.2	n265226
NONMMUT046628.2	n265257
NONMMUT010162.2	n265303
NONMMUT035204.2	n265319
NA	n265327
NONMMUT032890.2	n265334
NONMMUT014686.2	n265359
NONMMUT050983.2	n265362
NONMMUT042982.2	n265419
NONMMUT062382.2	n265420
NONMMUT036105.2	n265443
NA	n265471
NONMMUT033737.2	n265473
NA	n265511
NONMMUT067374.2	n265556
NONMMUT038389.2	n265588
NONMMUT031804.2	n265594
NONMMUT034478.2	n265606
NONMMUT002237.2	n265640
NA	n265651
NONMMUT006863.2	n265707
NONMMUT013189.2	n265823
NONMMUT005027.2	n265840
NONMMUT052220.2	n265872
NONMMUT056731.2	n265891
NONMMUT051100.2	n265930
NONMMUT021446.2	n265934
NONMMUT008951.2	n265940
NONMMUT025353.2	n265983
NA	n265990
NONMMUT062222.2	n266012
NONMMUT028279.2	n266107
NONMMUT066110.2	n266114
NA	n266151
NONMMUT000801.2	n266174
NONMMUT063019.2	n266185
NONMMUT046630.2	n266284
NONMMUT070232.2	n266285
NA	n266286
NONMMUT067405.2	n266302
NA	n266319
NONMMUT015537.2	n266341
NONMMUT048003.2	n266375
NONMMUT015078.2	n266402
NONMMUT032368.2	n266439
NONMMUT062472.2	n266444
NONMMUT031418.2	n266445
NONMMUT055164.2	n266462
NONMMUT038919.2	n266483
NA	n266489
NA	n266495
NONMMUT065210.2	n266500
NA	n266549
NONMMUT016495.2	n266565
NONMMUT016861.2	n266618
NONMMUT041876.2	n266628
NONMMUT024296.2	n266643
NONMMUT065994.2	n266677
NA	n266697
NA	n266717
NONMMUT053428.2	n266732
NONMMUT015639.2	n266733
NA	n266784
NONMMUT068643.2	n266814
NONMMUT023768.2	n266832
NONMMUT011291.2	n266839
NONMMUT034365.2	n266850
NA	n266856
NONMMUT005864.2	n266893
NA	n266910
NONMMUT044085.2	n266957
NONMMUT068895.2	n266959
NONMMUT011643.2	n266993
NONMMUT071942.2	n266997
NONMMUT014743.2	n267040
NA	n267057
NONMMUT038184.2	n267062
NONMMUT012032.2	n267072
NONMMUT062858.2	n267077
NONMMUT004768.2	n267084
NONMMUT002562.2	n267106
NONMMUT019239.2	n267107
NONMMUT044983.2	n267116
NA	n267127
NA	n267141
NA	n267180
NONMMUT043273.2	n267210
NONMMUT051476.2	n267278
NA	n267287
NONMMUT054876.2	n267289
NA	n267302
NA	n267330
NONMMUT027430.2	n267336
NA	n267357
NONMMUT027815.2	n267371
NA	n267386
NONMMUT002492.2	n267394
NA	n267405
NONMMUT008928.2	n267420
NONMMUT053169.2	n267422
NONMMUT070958.2	n267458
NA	n267478
NONMMUT054308.2	n267514
NONMMUT014814.2	n267527
NONMMUT067752.2	n267537
NONMMUT059616.2	n267543
NONMMUT031903.2	n267564
NONMMUT055128.2	n267573
NA	n267574
NONMMUT061882.2	n267585
NONMMUT004641.2	n267611
NA	n267643
NONMMUT037125.2	n267649
NA	n267662
NONMMUT073172.2	n267686
NONMMUT072219.2	n267689
NONMMUT049619.2	n267712
NONMMUT062786.2	n267727
NONMMUT051818.2	n267729
NONMMUT008153.2	n267743
NONMMUT027974.2	n267792
NA	n267800
NONMMUT059648.2	n267810
NONMMUT000362.2	n267817
NONMMUT048012.2	n267823
NONMMUT011924.2	n267824
NA	n267878
NA	n267909
NONMMUT017695.2	n267929
NA	n267941
NA	n267983
NONMMUT035134.2	n267990
NONMMUT049901.2	n267991
NONMMUT028743.2	n268040
NONMMUT060873.2	n268062
NA	n268063
NONMMUT028037.2	n268070
NONMMUT021448.2	n268098
NONMMUT008846.2	n268102
NONMMUT021699.2	n268103
NONMMUT069810.2	n268110
NONMMUT046682.2	n268154
NONMMUT054772.2	n268158
NONMMUT000798.2	n268168
NONMMUT066328.2	n268178
NONMMUT006808.2	n268206
NONMMUT023763.2	n268252
NONMMUT047332.2	n268260
NONMMUT074715.2	n268281
NONMMUT061964.2	n268286
NONMMUT026096.2	n268292
NA	n268318
NONMMUT069039.2	n268336
NONMMUT068988.2	n268344
NONMMUT017650.2	n268351
NA	n268366
NONMMUT014522.2	n268386
NA	n268393
NA	n268410
NA	n268421
NONMMUT051301.2	n268433
NONMMUT008865.2	n268434
NONMMUT056691.2	n268450
NA	n268463
NONMMUT015056.2	n268527
NONMMUT006669.2	n268548
NONMMUT067453.2	n268566
NA	n268600
NONMMUT018833.2	n268622
NONMMUT069881.2	n268627
NA	n268628
NONMMUT014677.2	n268648
NONMMUT031014.2	n268650
NONMMUT054667.2	n268670
NONMMUT043893.2	n268680
NA	n268743
NA	n268781
NA	n268784
NONMMUT065381.2	n268793
NA	n268815
NA	n268826
NONMMUT030429.2	n268836
NONMMUT030854.2	n268841
NONMMUT033138.2	n268850
NONMMUT003262.2	n268855
NONMMUT000800.2	n268866
NONMMUT043060.2	n268888
NA	n268947
NA	n268949
NONMMUT001738.2	n268950
NONMMUT008328.2	n268966
NA	n268973
NONMMUT015796.2	n268984
NONMMUT022437.2	n269034
NONMMUT045929.2	n269064
NONMMUT070528.2	n269067
NONMMUT020424.2	n269085
NONMMUT074724.2	n269111
NA	n269140
NONMMUT052147.2	n269160
NONMMUT012268.2	n269201
NONMMUT007992.2	n269250
NONMMUT019052.2	n269255
NONMMUT020095.2	n269262
NA	n269288
NONMMUT014380.2	n269290
NONMMUT069867.2	n269312
NA	n269340
NONMMUT008274.2	n269349
NONMMUT019655.2	n269358
NONMMUT008747.2	n269390
NONMMUT006431.2	n269419
NONMMUT031597.2	n269421
NONMMUT066002.2	n269425
NA	n269437
NA	n269440
NONMMUT020784.2	n269451
NONMMUT007472.2	n269457
NA	n269472
NONMMUT022923.2	n269515
NA	n269538
NONMMUT023342.2	n269555
NONMMUT071901.2	n269565
NONMMUT043538.2	n269569
NONMMUT000899.2	n269570
NONMMUT001265.2	n269581
NONMMUT063543.2	n269584
NONMMUT029757.2	n269586
NONMMUT005331.2	n269590
NONMMUT018575.2	n269610
NA	n269615
NONMMUT033418.2	n269625
NONMMUT038916.2	n269634
NONMMUT017324.2	n269636
NONMMUT055906.2	n269640
NONMMUT019395.2	n269655
NA	n269668
NONMMUT057396.2	n269723
NONMMUT044588.2	n269733
NONMMUT071574.2	n269743
NONMMUT069817.2	n269761
NONMMUT063398.2	n269762
NONMMUT022957.2	n269789
NONMMUT025249.2	n269817
NA	n269830
NONMMUT020340.2	n269869
NONMMUT011343.2	n269891
NA	n269901
NA	n269902
NONMMUT012413.2	n269922
NONMMUT046816.2	n269926
NONMMUT008746.2	n269951
NA	n269999
NONMMUT039760.2	n270061
NONMMUT049187.2	n270185
NONMMUT025696.2	n270209
NONMMUT025941.2	n270237
NONMMUT039063.2	n270333
NA	n270436
NONMMUT057660.2	n270457
NONMMUT071863.2	n270485
NONMMUT014953.2	n270487
NONMMUT073548.2	n270505
NONMMUT043221.2	n270539
NONMMUT030668.2	n270550
NONMMUT056729.2	n270567
NONMMUT062823.2	n270573
NA	n270596
NONMMUT048791.2	n270598
NONMMUT037123.2	n270601
NA	n270616
NONMMUT054864.2	n270627
NONMMUT043921.2	n270637
NONMMUT065573.2	n270643
NA	n270653
NONMMUT033538.2	n270688
NONMMUT045090.2	n270690
NONMMUT018986.2	n270696
NONMMUT023361.2	n270697
NONMMUT061881.2	n270712
NONMMUT021683.2	n270732
NA	n270755
NONMMUT005728.2	n270765
NONMMUT037712.2	n270795
NONMMUT045424.2	n270820
NONMMUT025357.2	n270826
NA	n270830
NONMMUT063751.2	n270858
NA	n270887
NONMMUT026921.2	n270905
NONMMUT030855.2	n270913
NA	n270914
NONMMUT048369.2	n270945
NONMMUT044981.2	n270960
NA	n270965
NONMMUT063293.2	n270970
NONMMUT066824.2	n270979
NONMMUT006169.2	n270988
