n121	NONHSAT122561.2
n127	NONHSAT121998.2
n1315	NONHSAT026096.2
n1414	NA
n1433	NONMMUT040235.2
n1460	NA
n1461	NONMMUT001905.2
n1579	NA
n177816	NA
n177817	NA
n177965	NA
n178012	NA
n178094	NA
n178096	NA
n178110	NA
n178123	NA
n178127	NA
n178128	NA
n178133	NA
n178134	NA
n178137	NA
n178162	NA
n178164	NA
n1851	NONHSAT081499.2
n1859	NA
n1868	NONHSAT030089.2
n1877	NA
n198938	NONMMUT015714.2
n199030	NONHSAT030153.2
n200540	NONMMUT017796.2
n203786	NA
n2060	NA
n2110	NA
n2130	NONMMUT049855.2
n2146	NA
n2156	NA
n2157	NA
n2170	NA
n223	NA
n243	NONHSAT118836.2
n263510	NA
n263537	NONMMUT015697.2
n263549	NONMMUT061300.2
n263563	NONMMUT002311.2
n263844	NONMMUT053358.2
n263875	NONMMUT053522.2
n263880	NONMMUT048923.2
n263885	NONMMUT068934.2
n263900	NONMMUT003890.2
n263936	NONMMUT048400.2
n263941	NA
n263950	NONMMUT020262.2
n263956	NONMMUT040074.2
n263960	NONMMUT012271.2
n263964	NONMMUT047777.2
n263969	NONMMUT020146.2
n263973	NONMMUT025543.2
n263981	NONMMUT026638.2
n264009	NONMMUT032684.2
n264034	NONMMUT008949.2
n264043	NONMMUT009308.2
n264048	NONMMUT023473.2
n264053	NONMMUT014026.2
n264065	NONMMUT018498.2
n264146	NONMMUT066265.2
n264173	NA
n264264	NONMMUT068940.2
n264314	NONMMUT024822.2
n264321	NA
n264344	NONMMUT017405.2
n264346	NONMMUT009575.2
n264410	NONMMUT057455.2
n264431	NA
n264435	NONMMUT063768.2
n264461	NONMMUT031415.2
n264493	NONMMUT019879.2
n264581	NONMMUT021162.2
n264602	NONMMUT048309.2
n264673	NONMMUT054707.2
n264709	NA
n264747	NONMMUT066601.2
n264765	NONMMUT057690.2
n264766	NONMMUT009888.2
n264800	NONMMUT030189.2
n264882	NONMMUT054183.2
n264998	NONMMUT069373.2
n265007	NONMMUT008967.2
n265080	NA
n265122	NONMMUT011431.2
n265125	NONMMUT015233.2
n265145	NA
n265149	NA
n265216	NONMMUT022925.2
n265226	NONMMUT012521.2
n265257	NONMMUT046628.2
n265303	NONMMUT010162.2
n265319	NONMMUT035204.2
n265327	NA
n265334	NONMMUT032890.2
n265359	NONMMUT014686.2
n265362	NONMMUT050983.2
n265419	NONMMUT042982.2
n265420	NONMMUT062382.2
n265443	NONMMUT036105.2
n265471	NA
n265473	NONMMUT033737.2
n265511	NA
n265556	NONMMUT067374.2
n265588	NONMMUT038389.2
n265594	NONMMUT031804.2
n265606	NONMMUT034478.2
n265640	NONMMUT002237.2
n265651	NA
n265707	NONMMUT006863.2
n265823	NONMMUT013189.2
n265840	NONMMUT005027.2
n265872	NONMMUT052220.2
n265891	NONMMUT056731.2
n265930	NONMMUT051100.2
n265934	NONMMUT021446.2
n265940	NONMMUT008951.2
n265983	NONMMUT025353.2
n265990	NA
n266012	NONMMUT062222.2
n266107	NONMMUT028279.2
n266114	NONMMUT066110.2
n266151	NA
n266174	NONMMUT000801.2
n266185	NONMMUT063019.2
n266284	NONMMUT046630.2
n266285	NONMMUT070232.2
n266286	NA
n266302	NONMMUT067405.2
n266319	NA
n266341	NONMMUT015537.2
n266375	NONMMUT048003.2
n266402	NONMMUT015078.2
n266439	NONMMUT032368.2
n266444	NONMMUT062472.2
n266445	NONMMUT031418.2
n266462	NONMMUT055164.2
n266483	NONMMUT038919.2
n266489	NA
n266495	NA
n266500	NONMMUT065210.2
n266549	NA
n266565	NONMMUT016495.2
n266618	NONMMUT016861.2
n266628	NONMMUT041876.2
n266643	NONMMUT024296.2
n266677	NONMMUT065994.2
n266697	NA
n266717	NA
n266732	NONMMUT053428.2
n266733	NONMMUT015639.2
n266784	NA
n266814	NONMMUT068643.2
n266832	NONMMUT023768.2
n266839	NONMMUT011291.2
